x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.136,0.135,0.135,0.135,0.135,0.135,0.135,0.134,0.133,0.133,0.133,0.133,0.132,0.133,0.132,0.132,0.132,0.132,0.132,0.132,0.131,0.131,0.131,0.131,0.131,0.13,0.13,0.13,0.131,0.131,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.128,0.128,0.127,0.127,0.127
0.105,0.105,0.105,0.106,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.106,0.105,0.104,0.104,0.104,0.104,0.104,0.104,0.103,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.103,0.103,0.104,0.105,0.105,0.105,0.104,0.104,0.104,0.104,0.104,0.104,0.105,0.105,0.105,0.105,0.105,0.105,0.104,0.105,0.105,0.105,0.105,0.106,0.106,0.107,0.107,0.108,0.108,0.108,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.106,0.106,0.106,0.105,0.105,0.105,0.105,0.105,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.105,0.105,0.105,0.105,0.105,0.106,0.106,0.106,0.106,0.106,0.106,0.106
0.123,0.124,0.123,0.123,0.123,0.123,0.122,0.122,0.122,0.123,0.124,0.124,0.124,0.124,0.124,0.125,0.125,0.124,0.124,0.124,0.124,0.124,0.123,0.123,0.123,0.124,0.124,0.124,0.124,0.124,0.124,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.122,0.122,0.122,0.122,0.121,0.121,0.121,0.121,0.121,0.12,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.12,0.119,0.119,0.118,0.119,0.12,0.12,0.12,0.121,0.121,0.121,0.121,0.12,0.121,0.121,0.121,0.12,0.12,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118
0.096,0.096,0.096,0.096,0.096,0.095,0.095,0.095,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.097,0.097,0.097,0.097,0.096,0.096,0.096,0.097,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.097,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.095,0.095,0.095,0.094,0.093,0.093,0.093,0.093,0.092,0.092,0.092,0.091,0.091,0.091,0.091,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.089,0.089,0.089,0.089,0.09,0.09,0.09,0.091
0.088,0.088,0.088,0.088,0.088,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.087,0.087,0.087,0.087,0.088,0.088,0.088,0.089,0.089,0.089,0.089,0.089,0.088,0.087,0.087,0.087,0.087,0.087,0.087,0.086,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.083,0.083,0.083,0.083,0.083,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084
0.12,0.119,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.117,0.117,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.117,0.117,0.117,0.117,0.117,0.116,0.116,0.116,0.117,0.117,0.117,0.117,0.116,0.115,0.115,0.115,0.115,0.115,0.116,0.116,0.116,0.117,0.117,0.116,0.116,0.116,0.116,0.117,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.114,0.114,0.114,0.113,0.114,0.114,0.114,0.114,0.113,0.113,0.113,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.111,0.111,0.111,0.111,0.112,0.112,0.112
0.122,0.122,0.121,0.12,0.12,0.121,0.122,0.121,0.121,0.122,0.121,0.121,0.121,0.122,0.122,0.123,0.123,0.122,0.122,0.122,0.121,0.121,0.121,0.121,0.122,0.122,0.122,0.122,0.123,0.123,0.123,0.122,0.122,0.123,0.123,0.123,0.124,0.123,0.123,0.122,0.122,0.121,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.122,0.123,0.124,0.124,0.124,0.124,0.124,0.124,0.125,0.125,0.125,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.125,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.125,0.124,0.124,0.124,0.124,0.125
0.088,0.088,0.088,0.088,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.09,0.09,0.09,0.091,0.091,0.091,0.091,0.091,0.09,0.09,0.09,0.09,0.09,0.09,0.091,0.091,0.091,0.092,0.092,0.092,0.092,0.093,0.093,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.091,0.091,0.092,0.092,0.092,0.093,0.093,0.093,0.092,0.092,0.092,0.092,0.092,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.092,0.092,0.092,0.092,0.092,0.091,0.091,0.091,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.089,0.089,0.089,0.089,0.09,0.09,0.09,0.09,0.09,0.09,0.089,0.089,0.089
0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.078,0.078,0.078,0.078,0.078,0.077,0.077,0.077,0.076,0.077,0.077,0.077,0.078,0.077,0.077,0.078,0.078,0.077,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.077,0.077,0.077,0.077,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.079,0.079,0.078,0.078,0.078,0.078,0.077,0.076,0.076,0.077,0.077,0.077,0.078,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.078,0.078,0.077,0.077,0.077
0.125,0.125,0.125,0.125,0.126,0.126,0.127,0.127,0.127,0.127,0.126,0.126,0.126,0.125,0.125,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.125,0.125,0.124,0.124,0.124,0.124,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126
0.11,0.11,0.11,0.11,0.11,0.11,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.111,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.111,0.111,0.111,0.111,0.111,0.111,0.11,0.109,0.109,0.109,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.111,0.111,0.111,0.111,0.111,0.111,0.112,0.111,0.111,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.111,0.111,0.111,0.111,0.111,0.11,0.11,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.108,0.109,0.109,0.109
0.096,0.096,0.096,0.097,0.098,0.097,0.097,0.097,0.098,0.098,0.098,0.099,0.099,0.099,0.099,0.099,0.099,0.098,0.098,0.097,0.097,0.097,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.094,0.094,0.095,0.095,0.095,0.096,0.096,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093
0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.105,0.105,0.104,0.104,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.102,0.103,0.103,0.102,0.102,0.102,0.101,0.101,0.101,0.101,0.101,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.1,0.1,0.1,0.1,0.1,0.099,0.098,0.098,0.098,0.098,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097
0.115,0.115,0.115,0.115,0.115,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.115,0.115,0.116,0.115,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.115,0.115,0.115,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.115,0.114,0.114,0.114,0.114,0.114,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
0.109,0.109,0.109,0.108,0.108,0.108,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.107,0.107,0.107,0.106,0.106,0.106,0.106,0.106,0.106,0.107,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.107,0.107,0.106,0.106,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107
0.133,0.133,0.133,0.134,0.134,0.133,0.132,0.132,0.131,0.131,0.131,0.131,0.131,0.131,0.13,0.13,0.13,0.13,0.131,0.131,0.131,0.131,0.13,0.13,0.13,0.13,0.13,0.129,0.129,0.129,0.129,0.128,0.129,0.129,0.129,0.13,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.132,0.131,0.131,0.131,0.131,0.132,0.132,0.132,0.132,0.132,0.132,0.133,0.133,0.133,0.133,0.133,0.133,0.134,0.134,0.134,0.134,0.135,0.135,0.135,0.135,0.135,0.135,0.136,0.135,0.135,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.133,0.132,0.132,0.132,0.133,0.133,0.133,0.133,0.133
0.115,0.115,0.115,0.115,0.115,0.116,0.116,0.116,0.116,0.116,0.115,0.114,0.114,0.113,0.114,0.115,0.114,0.113,0.113,0.112,0.112,0.112,0.113,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.111,0.11,0.109,0.109,0.108,0.107,0.107,0.106,0.106,0.106,0.105,0.105,0.105,0.104,0.104,0.104,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.104,0.104,0.104,0.104,0.104,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105
0.1,0.1,0.1,0.1,0.099,0.099,0.099,0.099,0.099,0.099,0.098,0.098,0.098,0.098,0.098,0.097,0.097,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.099,0.1,0.1,0.1,0.101,0.1,0.1,0.1,0.1,0.101,0.101,0.102,0.102,0.102,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.1,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.098,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.096,0.096,0.096,0.096,0.096,0.096,0.097,0.097,0.097,0.096,0.096,0.096,0.096,0.096,0.097,0.097,0.097,0.097,0.097
0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.104,0.104,0.104,0.104,0.105,0.106,0.106,0.107,0.106,0.106,0.105,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.107,0.107
0.12,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.12,0.12,0.12,0.12,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.122,0.121,0.121,0.121,0.122,0.122,0.122,0.122,0.122,0.121,0.12,0.12,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.118,0.117,0.117,0.117,0.117,0.117,0.116,0.116,0.116,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.116,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.117,0.117,0.117,0.117,0.117,0.116,0.116,0.115,0.115,0.115,0.115,0.115,0.115
0.108,0.108,0.108,0.108,0.108,0.107,0.107,0.108,0.108,0.109,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.109,0.11,0.11,0.11,0.11,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.11,0.11,0.11,0.11,0.11,0.11,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.108,0.108,0.107,0.107,0.107,0.106,0.106,0.106,0.105,0.105,0.105,0.104,0.104,0.104,0.104,0.104,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.102,0.102
0.109,0.108,0.108,0.108,0.108,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.109,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.111,0.11,0.11,0.11,0.109,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.107,0.107,0.107,0.107,0.107,0.107,0.108,0.108,0.108,0.108,0.108,0.108,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.109,0.109,0.108,0.107,0.108,0.108,0.107,0.107,0.107,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106
0.094,0.094,0.094,0.094,0.093,0.093,0.093,0.093,0.093,0.093,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.093,0.093,0.092,0.092,0.092,0.092,0.093,0.093,0.093,0.093,0.093,0.093,0.094,0.094,0.094,0.094,0.094,0.094,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.096,0.096,0.095,0.095,0.095,0.095,0.096,0.096,0.095,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.095,0.095,0.095,0.096,0.096,0.096,0.096,0.096,0.097,0.096,0.097,0.097,0.097,0.097,0.097,0.097
